Project Code,Project Title,Description,Buyer Organisation,Buyer Organisation.1,Publication Date,Supply Category,Response Currency,Closing date/time,Project Categories,Number of Attachments,Notices,Source,reference_no,tender_title
tender_229884,REQ 12533642 / 12533198 -VOR- W.O# INS-25-885740INS-25-885740,"1: [120-69796] BEARING,FRONT WHEEL  3514699\POLARIS - 1 EA
2: [120-87919] BEARING-WHEEL-40X74X MP3514635 POLARIS, MOTORCYCLE, 900D,2014 - 2 EA",Dubai Municipality,Dubai Municipality,2025-12-26 17:15:00,Other,AED,29/12/2025,503001,0,0,Dubai,tender_229884,REQ 12533642 / 12533198 -VOR- W.O# INS-25-885740INS-25-885740
tender_229885,REQ 12533648 / 12533399 - VOR - W.O# 11602490,"1: [120-93878] ARM ASSY STEERING IDLLER - 45490-39435 - TOYOTA COASTER BUS - 1 EA
2: [120-64674] BRACKET ASSY CENTER ARM 45410-36040/TOYOTA COASTER BUS - 1 EA
3: [120-93877] BRACKET IDLLER ARM - 45070-36030 - TOYOTA COASTER BUS - 1 EA
4: [120-93876] END SUB-ASSY TIE ROD LH/RH - 45046-39275 - TOYOTA COASTER BUS - 2 EA
5: [120-89533] LINK ASSY, STEERING DRAG 45440-39115 TOYOTA COASTER BUS 2013 - 1 EA
6: [120-93875] ROD ASSY  LH/RH - 45047-39165 - TOYOTA COASTER BUS - 2 EA
7: [120-91138] ROD ASSY, STEERING RELAY 45450-39225 TOYOTA COASTER BUS 2013 - 1 EA
8: [120-91137] ROD ASSY, TIE, LH/RH 45460-39385  TOYOTA COASTER BUS 2013 - 2 EA",Dubai Municipality,Dubai Municipality,2025-12-26 17:20:00,Other,AED,29/12/2025,503001,0,0,Dubai,tender_229885,REQ 12533648 / 12533399 - VOR - W.O# 11602490
tender_229860,12533447 OSP,1: OSP: HYLD-L-85568 (J/C# INS-25-886331) REPAIR HYDRAULIC BUCKET CYLINDER LEAK - 1 EA,Dubai Municipality,Dubai Municipality,2025-12-25 15:30:01,Other,AED,29/12/2025,502001,0,0,Dubai,tender_229860,12533447 OSP
tender_229887,REQ 12533826 / 12533415-VOR- W.O#  INS-25-886833,"1: [120-26540] BOLT 195-27-33130/KOMATSU BULLDOZER 1995 - 45 EA
2: [120-26541] NUT 195-27-33141/KOMATSU BULLDOZER 1995 - 45 EA",Dubai Municipality,Dubai Municipality,2025-12-26 19:20:00,Other,AED,29/12/2025,503001,0,0,Dubai,tender_229887,REQ 12533826 / 12533415-VOR- W.O#  INS-25-886833
tender_229873,REQ 12533563 / 12533347 - VOR - W.O# INS-25-886435,"1: [120-52625] SPRING ASSY,FRONT LEAF A9443200002/MERCEDES TRUCK 2014 - 2 EA",Dubai Municipality,Dubai Municipality,2025-12-26 16:30:01,Other,AED,29/12/2025,503001,0,0,Dubai,tender_229873,REQ 12533563 / 12533347 - VOR - W.O# INS-25-886435
tender_229874,REQ 12533577 / 12532934 -VOR - W.O# INS-25-884928,"1: [120-32490] BOOSTER CLUTCH 0002500562 / MERCEDES COMPACTOR - 1 EA
2: [120-26437] CLUTCH ASSY; MAKE: MERCEDES-BENZ, P/N: 0212509401 / SS A0222501501/80 / A0232507501/80 /A0222505601/80 / A0212509501 / A0242507501/80 /0182509901, SIZE: 430mm DIA, EQUIP: 2003 COMPACTOR - 1 EA
3: [120-36930] CYLINDER ASSY, ACTUATING, LINEAR; TYPE: TILT, MAKE: MERCEDES-BENZ, P/N: A0025538805, EQUIP: COMPACTOR - 1 EA
4: [120-25070] ELEMENT, FILTER; MEDIA: AIR, MAKE: MERCEDES-BENZ, P/N: A0040943504 / C271320/3, SIZE: 170mm ID x 267mm OD x 493mm L, TYPE: PRIMARY, EQUIP: ACTROS TRUCK - 2 EA
5: [120-18237] FILTER, SEPARATOR OIL  A5410100163/EAS500M05/MERCEDES COMPACTOR - 1 EA
6: [120-27127] FORK, CLUTCH 6552501513/MERCEDES COMPACTOR 2003 - 1 EA
7: [120-55329] HOSE EXPANSION TANK (L-TYPE) 9305010182\MERCEDES COMPACTOR - 1 EA
8: [120-26690] HOSE; MAKE: MERCEDES-BENZ, P/N: A9415010782, SIZE: 64mm ID x 77mm OD x 210mm L, MATL: EPDM, CLR: BLACK, APP: LOWER, ACTROS TRUCK RADIATOR - 1 EA
9: [120-45096] MOUNTING, GEAR BOX 9412418713 / MERCEDES COMPACTOR - 2 EA
10: [120-26157] TANK EXPANSION 0005003049/MERCEDES COMPACTOR 2001 - 1 EA",Dubai Municipality,Dubai Municipality,2025-12-26 16:35:00,Other,AED,29/12/2025,503001,0,0,Dubai,tender_229874,REQ 12533577 / 12532934 -VOR - W.O# INS-25-884928
tender_229875,REQ 12533583 / 12533390 -VOR - W.O# INS-25-886739,"1: [120-56898] BOOSTER BRAKE(SERVICE) 1446059\SCANIA COMPACTOR 204 - 1 EA
2: [120-63692] HOSE; MAKE: SCANIA, P/N: 1884058, CLR: BLACK, APP: TRANSMISSION COOLER - 2 EA
3: [120-57326] PUMP STEERING 1439958\SCANIA COMPACTOR 2014 - 1 EA
4: [120-56903] SEAL OIL REAR HUB 1907845\SCANIA COMPACTOR 204 - 4 EA
5: [120-93478] STEERING PUMP GASKET 1461331 SCANIA 2014 - 1 EA
6: [120-69835] VALVE FOOT BRAKE 1324664 / SCANIA TRUCK 2014 - 1 EA",Dubai Municipality,Dubai Municipality,2025-12-26 16:35:01,Other,AED,29/12/2025,503001,0,0,Dubai,tender_229875,REQ 12533583 / 12533390 -VOR - W.O# INS-25-886739
tender_229888,REQ 12533739 / 12532708 - VERY URGENT ITEM,1: [120-43582] FILTER OIL 01-0002992544/ASTRA TANKER 6438 2009 - 10 EA,Dubai Municipality,Dubai Municipality,2025-12-26 19:30:00,Other,AED,29/12/2025,503001,0,0,Dubai,tender_229888,REQ 12533739 / 12532708 - VERY URGENT ITEM
tender_229816,MC: HH-Gynecology -22503495-MMR-IPR#125045125,"Important Note : Kindly enter the unit price or the item value WITHOUT the VAT, also ensure to select the VAT category for each item quoted. - 
Important Note : If the VAT is applied, will be added at PO stage. 

For any questions or clarifications in regards to the VAT, kindly contact Federal Tax Authority.
 - 
1: [510-24899] Kiwi cup (Vaccum assisted Delivery cup) - 10 EA",Dubai Academic Health Corporation,Dubai Academic Health Corporation,2025-12-25 08:20:00,Other,AED,29/12/2025,242305,0,0,Dubai,tender_229816,MC: HH-Gynecology -22503495-MMR-IPR#125045125
tender_229842,REQ 12533840 / 12533595 -VOR - W.O#INS-25-886790,"1: [120-65653] HUB INNER BEARING 223257 / CLARK FORK LIFT - 2 EA
2: [120-65655] HUB OUTER BEARING 927820 / CLARK FORK LIFT - 2 EA
3: [120-60624] OIL SEAL 927815\CLARK FORKLIFT EPX20 S / 2009 - 2 EA
4: [120-60627] SEAL 8059528\CLARK FORKLIFT EPX20 S / 2009 - 2 EA
5: [120-60623] SEAL 8059529\CLARK FORKLIFT EPX20 S / 2009 - 2 EA
6: [120-93977] STUB AXLE LH 8450617 CLARK FORK LIFT 2014 - 1 EA
7: [120-93976] STUB AXLE RH 8450618 CLARK FORK LIFT 2014 - 1 EA
8: [120-85671] WASHER 8042148\CLARK FORKLIFT P 455 D 2011 - 2 EA",Dubai Municipality,Dubai Municipality,2025-12-25 12:15:01,Other,AED,29/12/2025,503001,0,0,Dubai,tender_229842,REQ 12533840 / 12533595 -VOR - W.O#INS-25-886790
tender_229240,"PHARMACEUTICAL ITEM - IPR# 125037707, T# 22503368/SMA","Important Note : Kindly enter the unit price or the item value WITHOUT the VAT, also ensure to select the VAT category for each item quoted. - 
Important Note : If the VAT is applied, will be added at PO stage. 

For any questions or clarifications in regards to the VAT, kindly contact Federal Tax Authority.
 - 
1: [520-01334] DEXTROSE 4.3% WITH SODIUM CHLORIDE 0.18%-I.V1000ML. - 3,000 EA",Dubai Academic Health Corporation,Dubai Academic Health Corporation,2025-12-06 18:50:00,Other,AED,29/12/2025,731001,0,0,Dubai,tender_229240,"PHARMACEUTICAL ITEM - IPR# 125037707, T# 22503368/SMA"
tender_229344,IPR # 125040517 SOQ # 22503399/MUR FMU DH Main cooling tower Section 1,"Important Note 1: Kindly enter the unit price or the item value WITHOUT the VAT, also ensure to select the VAT category for each item quoted. - 
Important Note  2: If the VAT is applied, will be added at PO stage. 

For any questions or clarifications in regards to the VAT, kindly contact Federal Tax Authority.
 - 
Important Note 3: if your offer is AED 100,000/- and above. please provide us the bank guarantee with amount of 2% of your total proposal and Tender Fees.
The validity of the Bid Bond should be 120 days (3 months starting from the tender closing date).
 - 
1: Main cooling tower two vertical  water flow sections 1&2 works at Dubai hospital - 1 EA
2: Main cooling tower two vertical  water flow sections 1&2 civil works at Dubai hospital - 1 EA",Dubai Academic Health Corporation,Dubai Academic Health Corporation,2025-12-09 10:20:00,Other,AED,29/12/2025,452026,0,0,Dubai,tender_229344,IPR # 125040517 SOQ # 22503399/MUR FMU DH Main cooling tower Section 1
tender_229114,Caterpillar equipment maintenance contract,": kindly input your total price without VAT in section 3.1.2 and in section 3.4 enter it as per the breakdown
- please note that the prices for both sections should be the same

Dubai Municipality has the right to disqualify your offer if different prices are submitted - 
1: Caterpillar equipment maintenance contract - 1 Each
1: Caterpillar equipment maintenance contract 2026 - 1 each",Dubai Municipality,Dubai Municipality,2025-11-29 09:00:01,Other,AED,29/12/2025,452028,0,0,Dubai,tender_229114,Caterpillar equipment maintenance contract
tender_229242,"PHARMACEUTICAL ITEM - IPR# 125039778, T# 22503370/SMA","Important Note : Kindly enter the unit price or the item value WITHOUT the VAT, also ensure to select the VAT category for each item quoted. - 
Important Note : If the VAT is applied, will be added at PO stage. 

For any questions or clarifications in regards to the VAT, kindly contact Federal Tax Authority.
 - 
1: [520-23889] INSULIN - LISPRO (ULTRA RAPID) 100 IU/ML SOLUTION FOR INJECTION PEN EACH - 6,000 EA",Dubai Academic Health Corporation,Dubai Academic Health Corporation,2025-12-06 18:45:00,Other,AED,29/12/2025,731001,0,0,Dubai,tender_229242,"PHARMACEUTICAL ITEM - IPR# 125039778, T# 22503370/SMA"
tender_229568,IPR# 125045480 / SOQ# 22503441 / Pharmaceutical item / RH / SKA,"Important Note : Kindly enter the unit price or the item value WITHOUT the VAT, also ensure to select the VAT category for each item quoted. - 
Important Note : If the VAT is applied, will be added at PO stage. 

For any questions or clarifications in regards to the VAT, kindly contact Federal Tax Authority.
 - 
1: [520-24466] MAVACAMTEN CAMZYOS 2.5MG TAB (SPR) - 112 EA",Dubai Academic Health Corporation,Dubai Academic Health Corporation,2025-12-16 14:10:00,Other,AED,29/12/2025,513967,0,0,Dubai,tender_229568,IPR# 125045480 / SOQ# 22503441 / Pharmaceutical item / RH / SKA
tender_229574,IPR# 125045471 / SOQ# 22503442 / Pharmaceutical item / RH / SKA,"Important Note : Kindly enter the unit price or the item value WITHOUT the VAT, also ensure to select the VAT category for each item quoted. - 
Important Note : If the VAT is applied, will be added at PO stage. 

For any questions or clarifications in regards to the VAT, kindly contact Federal Tax Authority.
 - 
1: [520-24631] TETRABENAZINE 25 MG TABLET (SPR).- - 336 EA",Dubai Academic Health Corporation,Dubai Academic Health Corporation,2025-12-16 14:10:01,Other,AED,29/12/2025,513967,0,0,Dubai,tender_229574,IPR# 125045471 / SOQ# 22503442 / Pharmaceutical item / RH / SKA
tender_229578,IPR# 125045461 / SOQ# 22503443 / Pharmaceutical item / RH /SKA,"Important Note : Kindly enter the unit price or the item value WITHOUT the VAT, also ensure to select the VAT category for each item quoted. - 
Important Note : If the VAT is applied, will be added at PO stage. 

For any questions or clarifications in regards to the VAT, kindly contact Federal Tax Authority.
 - 
1: [520-24453] PIMAVANSERIN 34 MG CAPSULE (SPR) - 180 EA",Dubai Academic Health Corporation,Dubai Academic Health Corporation,2025-12-16 14:10:02,Other,AED,29/12/2025,513967,0,0,Dubai,tender_229578,IPR# 125045461 / SOQ# 22503443 / Pharmaceutical item / RH /SKA
tender_229579,IPR# 125044942 / SOQ# 22503444 / Pharmaceutical item / DH / SKA,"Important Note : Kindly enter the unit price or the item value WITHOUT the VAT, also ensure to select the VAT category for each item quoted. - 
Important Note : If the VAT is applied, will be added at PO stage. 

For any questions or clarifications in regards to the VAT, kindly contact Federal Tax Authority.
 - 
1: [520-24865] BIMEKIZUMAB 160 MG INJECTION (SPR).- - 16 EA",Dubai Academic Health Corporation,Dubai Academic Health Corporation,2025-12-16 14:10:02,Other,AED,29/12/2025,513967,0,0,Dubai,tender_229579,IPR# 125044942 / SOQ# 22503444 / Pharmaceutical item / DH / SKA
tender_229580,IPR# 125044289 / SOQ# 22503445 / Pharmaceutical item / DH / SKA,"Important Note : Kindly enter the unit price or the item value WITHOUT the VAT, also ensure to select the VAT category for each item quoted. - 
Important Note : If the VAT is applied, will be added at PO stage. 

For any questions or clarifications in regards to the VAT, kindly contact Federal Tax Authority.
 - 
1: [520-24872] C1 ESTERASE INHIBITOR 500UNIT INTRAVENOUS KIT (SPR) - 24 EA",Dubai Academic Health Corporation,Dubai Academic Health Corporation,2025-12-16 14:10:03,Other,AED,29/12/2025,513967,0,0,Dubai,tender_229580,IPR# 125044289 / SOQ# 22503445 / Pharmaceutical item / DH / SKA
tender_229581,IPR# 125043179 / SOQ# 22503446 / Pharmaceutical item / DH / SKA,"Important Note : Kindly enter the unit price or the item value WITHOUT the VAT, also ensure to select the VAT category for each item quoted. - 
Important Note : If the VAT is applied, will be added at PO stage. 

For any questions or clarifications in regards to the VAT, kindly contact Federal Tax Authority.
 - 
1: [520-24871] POSACONAZOLE 300MG INJECTION (SPR) - 24 EA",Dubai Academic Health Corporation,Dubai Academic Health Corporation,2025-12-16 14:10:03,Other,AED,29/12/2025,513967,0,0,Dubai,tender_229581,IPR# 125043179 / SOQ# 22503446 / Pharmaceutical item / DH / SKA
tender_229562,IPR# 125045680 / SOQ# 22503437 / Pharmaceutical item / DH / SKA,"Important Note : Kindly enter the unit price or the item value WITHOUT the VAT, also ensure to select the VAT category for each item quoted. - 
Important Note : If the VAT is applied, will be added at PO stage. 

For any questions or clarifications in regards to the VAT, kindly contact Federal Tax Authority.
 - 
1: [520-24466] MAVACAMTEN CAMZYOS 2.5MG TAB (SPR) - 84 EA",Dubai Academic Health Corporation,Dubai Academic Health Corporation,2025-12-16 14:15:00,Other,AED,29/12/2025,513967,0,0,Dubai,tender_229562,IPR# 125045680 / SOQ# 22503437 / Pharmaceutical item / DH / SKA
tender_229563,IPR# 125045542 / SOQ# 22503438 / Pharmaceutical item / DH / SKA,"Important Note : Kindly enter the unit price or the item value WITHOUT the VAT, also ensure to select the VAT category for each item quoted. - 
Important Note : If the VAT is applied, will be added at PO stage. 

For any questions or clarifications in regards to the VAT, kindly contact Federal Tax Authority.
 - 
1: [520-24468] METHYL PREDNISOLONE 4 MG  (SPR).- - 360 EA",Dubai Academic Health Corporation,Dubai Academic Health Corporation,2025-12-16 14:15:01,Other,AED,29/12/2025,513967,0,0,Dubai,tender_229563,IPR# 125045542 / SOQ# 22503438 / Pharmaceutical item / DH / SKA
tender_229564,IPR# 125045532 / SOQ# 22503439 / Pharmaceutical item / RH / SKA,"Important Note : Kindly enter the unit price or the item value WITHOUT the VAT, also ensure to select the VAT category for each item quoted. - 
Important Note : If the VAT is applied, will be added at PO stage. 

For any questions or clarifications in regards to the VAT, kindly contact Federal Tax Authority.
 - 
1: [520-24737] EDARAVONE 105MG/5ML ORAL SUSPENSION (50ML) (SPR) - 7 EA",Dubai Academic Health Corporation,Dubai Academic Health Corporation,2025-12-16 14:15:01,Other,AED,29/12/2025,513967,0,0,Dubai,tender_229564,IPR# 125045532 / SOQ# 22503439 / Pharmaceutical item / RH / SKA
tender_229565,IPR# 125045494 / SOQ# 22503440 / Pharmaceutical item / DH / SKA,"Important Note : Kindly enter the unit price or the item value WITHOUT the VAT, also ensure to select the VAT category for each item quoted. - 
Important Note : If the VAT is applied, will be added at PO stage. 

For any questions or clarifications in regards to the VAT, kindly contact Federal Tax Authority.
 - 
1: [520-19151] LIPOSOMAL DOXORUBICIN (CAELYX) 2 MG/ML (10 ML) (SPR).- - 24 EA",Dubai Academic Health Corporation,Dubai Academic Health Corporation,2025-12-16 14:15:02,Other,AED,29/12/2025,513967,0,0,Dubai,tender_229565,IPR# 125045494 / SOQ# 22503440 / Pharmaceutical item / DH / SKA
tender_229639,مناقصة استعلام لشركة متخصصة لتوفير وإدارة موظفي التعهدات الخارجية للإد,"Important Note: Please ensure not insert Zero ""0"" as a unit price for the mandatory items, any supplier fails to comply with this fully will be disqualified  - 
1: مناقصة استعلام لشركة متخصصة لتوفير وإدارة موظفي التعهدات الخارجية للإدارة العامة للهوية وشؤون الأجانب - 1 EA",Dubai - Naturalization & Residency Admn.,Dubai - Naturalization & Residency Admn.,2025-12-18 11:35:00,Other,AED,29/12/2025,749102,0,0,Dubai,tender_229639,مناقصة استعلام لشركة متخصصة لتوفير وإدارة موظفي التعهدات الخارجية للإد
tender_229440,AJCH/STORE/PR-125045459/22503428 - MEDICAL CONSUMABLE STANDING ORDER,"Important Note : Kindly enter the unit price or the item value WITHOUT the VAT, also ensure to select the VAT category for each item quoted. - 
Important Note : If the VAT is applied, will be added at PO stage. 

For any questions or clarifications in regards to the VAT, kindly contact Federal Tax Authority.
 - 
1: [510-15961] Sachets of OptiLube? sterile Lubricating jelly for individual use. 5g Sachet , Code:1120, Optimum Medical Solutions ? UK-UK, pack size:150 - 24,300 EA
2: [510-16254] 2-way, 100 % Silicone foley catheter 10 Fr 5ml baloon MEDLINE /USA.CAT#\DYND11554  - 150 EA
3: [510-16255] 2-way, 100 % Silicone foley catheter 12 Fr 10ml baloon MEDLINE /USA.CAT#\DYND11500  - 150 EA
4: [510-16252] 2-way, 100 % Silicone foley catheter 6 Fr 3ml baloon  MEDLINE /USA.CAT#\DYND11552  - 150 EA
5: [510-16110] SharpSafety Large Volume Containers with sliding lid 30 Litres,Dimensions 45 x 28 x 39.4 cm,Red# 8980S, Code:8980S, Cardinal Health(Covidien)-USA/EEC, pack size:1 - 47.5 EA
6: [510-16111] SharpSafety Large Volume Containers with sliding and Sealing Gasket Lids,67 Litres Capacity, 66 x 32.4 x 46.3 cm Dimensions,Red # 8998S, Code:8998S, Cardinal Health(Covidien)-USA/EEC, pack size:1 - 70 EA
7: [510-15974] MONOSYN QUICK6/0 45CM 11MM CUTTING MICROTIP GLYCONATE MONOFILAMENT FAST ABSORBALE - 612 EA
8: [510-19268] Transfusion set VL TR 00-M46442800S Supplier code : M46442800S Packing Qty: 1 FRESENIUS KABI, FRANCE . Supplier code : Packing Qty:Each ? , Code:M46442800S, DRAEGER MEDICAL-GERMANY , pack size:Pieces - 2,520 EA
9: [510-19173] Infusion sets VL PN 00  Part No:M46444300, Code:M46444300, FRESENIUS KABI-GERMANY, pack size:Pieces - 3,600 EA
10: [510-19175] Argyle? IV Support Boards Arm -Small (up to 1500g),2.5 cm x 16 cm dia,Box of 50 # MI00775, Code:MI00775, Cardinal Health(Covidien)-USA/EEC, pack size:50 - 600 EA
11: [510-19176] Argyle? IV Support Boards Arm-Preemie ,2.5 cm x 7.6 cm Dia,Box of 50 # MI00880, Code:MI00880, Cardinal Health(Covidien)-USA/EEC, pac...",Dubai Academic Health Corporation,Dubai Academic Health Corporation,2025-12-11 13:45:00,Other,AED,29/12/2025,242305,0,0,Dubai,tender_229440,AJCH/STORE/PR-125045459/22503428 - MEDICAL CONSUMABLE STANDING ORDER
tender_224505,IPR#12502360-Provide catering for RTA meeting and event,"1: BREAKFAST - 1 EA
2: CAKE REGULAR - 1 EA
3: CAKE SPECIAL DESIGN - 1 EA
4: DINNER - 1 EA
5: FULL DAY MEETING 2 COFFEE BREAK AND LUNCH - 1 EA
6: LUNCH - 1 EA
7: MEAL BOX - 1 EA
8: MIND-MORNING COFFEE BREAK - 1 EA
9: PASS AROUND - 1 EA
10: PLATTER COFFEE BREAK - 1 EA
11: VIP PLATTER - 2 EA
12: provide catering for RTA meeting and event - 1 EA",Roads & Transport Authority,Roads & Transport Authority,2025-12-11 11:45:00,Other,AED,29/12/2025,749959,0,0,Dubai,tender_224505,IPR#12502360-Provide catering for RTA meeting and event
tender_229758,Acrobat Pro Licenses Renewal 2026,1: Acrobat Pro Licenses Renewal 2026 - 1 UNT,Mohammed Bin Rashid Housing Est.,Mohammed Bin Rashid Housing Est.,2025-12-23 11:35:00,Other,AED,29/12/2025,721001,0,0,Dubai,tender_229758,Acrobat Pro Licenses Renewal 2026
tender_229720,Fortigate and Aruba AMC,1: Fortigate and Aruba AMC - 1 UNT,Mohammed Bin Rashid Housing Est.,Mohammed Bin Rashid Housing Est.,2025-12-22 11:50:00,Other,AED,29/12/2025,721001,0,0,Dubai,tender_229720,Fortigate and Aruba AMC
tender_229556,مناقصة /مشروع الارشفة الإلكترونية,1: مناقصة /مشروع الارشفة الإلكترونية يخص حفظ وتخزين سجلات المؤسسة - 1 EA,Mohammed Bin Rashid Housing Est.,Mohammed Bin Rashid Housing Est.,2025-12-16 12:55:00,Other,AED,29/12/2025,659901,0,0,Dubai,tender_229556,مناقصة /مشروع الارشفة الإلكترونية
tender_229550,Insurance for all Building - 12521356,1: Insurance for all Building which is belong to DCAS - 1 EA,Dubai Corporation for Ambulance Services,Dubai Corporation for Ambulance Services,2025-12-16 10:35:00,Other,AED,29/12/2025,660306,0,0,Dubai,tender_229550,Insurance for all Building - 12521356
tender_229797,AJCH/PR-125048977/22503492 - MEDICAL CONSUMABLE STANDING ORDER,"Important Note : Kindly enter the unit price or the item value WITHOUT the VAT, also ensure to select the VAT category for each item quoted. - 
Important Note : If the VAT is applied, will be added at PO stage. 

For any questions or clarifications in regards to the VAT, kindly contact Federal Tax Authority.
 - 
1: [510-17318] ECG SOLID GEL DISPOSABLE DIAGNOSTIC ELECTRODE PED, 13943B, Philips - USA, Pack - 1000/box - 60,000 EA",Dubai Academic Health Corporation,Dubai Academic Health Corporation,2025-12-24 13:05:00,Other,AED,29/12/2025,242305,0,0,Dubai,tender_229797,AJCH/PR-125048977/22503492 - MEDICAL CONSUMABLE STANDING ORDER
tender_229716,Verba Recording System License Renewal,1: Verba Recording System License Renewal - 1 UNT,Mohammed Bin Rashid Housing Est.,Mohammed Bin Rashid Housing Est.,2025-12-22 11:40:01,Other,AED,29/12/2025,721001,0,0,Dubai,tender_229716,Verba Recording System License Renewal
