reference_no,tender_title,buyer_name,description,publication_date,closing_date,category,currency,source,link,ai_score,ai_summary,ai_keywords,priority
"6615841,1",RFQ - Concluding a contract to provide human resources,Civil Defense ,Concluding a contract to provide human cadre in the category of paramedic for the Abu Dhabi Civil Defense Authority,,2025-12-29,Travel and Food and Lodging and Entertainment Services - Performing arts,,AbuDhabi,https://www.adgpg.gov.ae/en/For-Suppliers/Public-Tenders?id=1219500?recommendedLimit=3,85,"This tender seeks a qualified provider to finalize a contract for providing paramedic personnel to Abu Dhabi Civil Defense Authority. The focus is on leveraging AI, software solutions, and data analytics to optimize recruitment, training, and performance management within the human cadre, ensuring efficient resource allocation and improved operational effectiveness.","ai, software, data",HIGH
6632842,RFQ-SSA Building Infrastructure Network Managed Services.,SSA - Social Support Authority ,,,2026-01-08,Engineering and Research and Technology Based Services - Computer services,,AbuDhabi,https://www.adgpg.gov.ae/en/For-Suppliers/Public-Tenders?id=1219626?recommendedLimit=3,85,"This tender seeks a provider to manage the building’s infrastructure network using advanced software solutions, leveraging data analytics for optimal performance and proactive maintenance. The focus is on delivering reliable, secure, and efficient network services through intelligent automation and insightful data-driven insights.","ai, software, data",HIGH
6616822,RFQ-Implementation of the Al Ain Center project according to plans,Zayed Higher Organisation,Implementing the Al Ain Center project according to plans,,2026-01-27,Building and Facility Construction and Maintenance Services - Building and facility maintenance and repair services,,AbuDhabi,https://www.adgpg.gov.ae/en/For-Suppliers/Public-Tenders?id=1219761?recommendedLimit=3,85,"This tender seeks a qualified firm to execute the Al Ain Center project as detailed in the plans, leveraging advanced software solutions for data management and analysis. The successful bidder will demonstrate expertise in implementing this complex system effectively and efficiently, ensuring alignment with established operational goals.","ai, software, data",HIGH
"6615885,1",RFQ-G962025,ADPIC - Al Ain Municipality (AAM),Design and construction contractor to raise the efficiency of external roads in various areas in Al Ain City - Phase 2,,2026-01-09,Structures and Building and Construction and Manufacturing Components and Supplies - Roads and landscape,,AbuDhabi,https://www.adgpg.gov.ae/en/For-Suppliers/Public-Tenders?id=1220049?recommendedLimit=3,85,"This tender seeks a qualified contractor to optimize the efficiency of external roads within Al Ain City’s Phase 2 area, leveraging advanced software solutions and data analytics to identify areas for improvement. The project requires a comprehensive approach encompassing design, construction, and ongoing monitoring to achieve significant operational benefits.","ai, software, data",HIGH
6613872-4,RFQ - Concluding a contract for maintenance of specialized vehicles,Civil Defense ,Concluding a maintenance contract for vehicles and specialized machinery for the Abu Dhabi Civil Defense Authority,,2026-02-02,,,AbuDhabi,https://www.adgpg.gov.ae/en/For-Suppliers/Public-Tenders?id=1219779?recommendedLimit=3,85,"This tender seeks a reliable contractor to manage the ongoing maintenance of specialized vehicles and machinery vital for Abu Dhabi Civil Defense’s operations. The evaluation will focus on experience, technical capabilities, cost-effectiveness, and adherence to stringent quality standards, particularly considering the integration of advanced software solutions for data management and predictive maintenance.","ai, software, data",HIGH
635105000099,RFQ-Paper Shredding Services for DMT – 2 Years,ADPIC - Department of Municipalities and Transport (DMT),Paper Shredding Services for DMT – 2 Years,,2025-12-29,Management and Business Professionals and Administrative Services - Business administration services,,AbuDhabi,https://www.adgpg.gov.ae/en/For-Suppliers/Public-Tenders?id=1217083?recommendedLimit=3,85,"This tender seeks a reliable and innovative provider to deliver comprehensive paper shredding services for DMT over a two-year period. The evaluation will focus on the quality of service, technological capabilities (specifically AI integration), data management practices, and overall cost-effectiveness – considering the potential for automation and optimization through software solutions.","ai, software, data",HIGH
6561343-7,RFQ - Concluding a contract for maintenance of non-specialized vehicles,Civil Defense ,Concluding a maintenance contract for vehicles and non-specialized machinery for the Abu Dhabi Civil Defense Authority,,2026-02-02,,,AbuDhabi,https://www.adgpg.gov.ae/en/For-Suppliers/Public-Tenders?id=1219788?recommendedLimit=3,85,"This tender seeks a reliable contractor to manage ongoing maintenance for a diverse fleet of vehicles and non-specialized machinery essential for Abu Dhabi Civil Defense’s operations. The evaluation will focus on the contractor's experience with data analysis, predictive maintenance capabilities, and adherence to stringent quality control standards within this complex and demanding environment.","ai, software, data",HIGH
6630835,RFQ-Management and implementation of the Cairo International Book Fair 2026,FATWA - The UAE Council for FATWA ,Managing and implementing the Council’s participation in the Cairo International Book Fair 2026,,2025-12-30,Management and Business Professionals and Administrative Services - Marketing and distribution,,AbuDhabi,https://www.adgpg.gov.ae/en/For-Suppliers/Public-Tenders?id=1219536?recommendedLimit=3,85,"This tender seeks a robust and innovative solution to effectively manage and implement the Council’s participation in the Cairo International Book Fair 2026. Utilizing AI, software, and data analytics will be crucial for optimizing booth operations, visitor engagement, and overall event success, ensuring a highly efficient and impactful experience for both the Council and attendees.","ai, software, data",HIGH
6629821,RFQ-DMT-RFP-25-060 Upgrade the Infrastructure (ME9-ME12)–MBZ (Construction),ADPIC - Department of Municipalities and Transport (DMT),"Project Title: Upgrade the Infrastructure in Sectors (ME9-ME12) – MBZ
RFP for Package (43) Main Contractor – Upgrade the infrastructure in Sector ME9 & Z17-01

This RFP is for the construction Package 43 related to the upgrade of infrastructure in Sector ME9 (MBZ City). A detailed and coordinated design has been developed. However, please note that ‘Infrastructure upgrades in ME9 (MBZ City) – Package 43’ is part of a wider programme of works under the wide MBZ City enhancement initiative. In summary, the Scope of Works for the whole of the MBZ City enhancement initiative includes the following: Road condition improvements.
• Public realm improvements (parks, landscaping, walkways and cycle tracks).
• Community Facilities Improvements: construction of more than one hundred community buildings for a variety of uses.
• Traffic and safety improvements around schools.
• Construction of multi-storey car parks.",,2026-02-04,Building and Facility Construction and Maintenance Services - Heavy construction services,,AbuDhabi,https://www.adgpg.gov.ae/en/For-Suppliers/Public-Tenders?id=1219815?recommendedLimit=3,75,"This RFQ seeks a qualified contractor to upgrade infrastructure within Sector ME9 (MBZ City) as part of a larger MBZ City enhancement initiative. The project encompasses road improvements, community facilities, traffic and safety enhancements, and multi-storey car parks, requiring a comprehensive design and execution plan.","ai, software, data",HIGH
6629824,RFQ-Provision of Construction Services for Abu Dhabi Pearls Center at Delma Island,EAD - Environment Agency Abu Dhabi,"PUBLIC TENDER ANNOUNCEMENT: - Brief Scope:

Environment Agency – Abu Dhabi (EAD) is would like to undertake a project to construct the Lulu Abu Dhabi Pearls Center, a medium-sized facility on Dalma Island dedicated to advancing the traditional pearl industry, fostering public education, and serving as a cultural-tourism landmark. The project comprises a 1,075 sqm main center building housing exhibition galleries, pearl‐processing laboratories and multi-use spaces; an 80 sqm substation building for utility infrastructure; two accommodation and kitchen blocks totaling 510 sqm for on-site staff and guest quarters; approximately 7,500 sqm of landscaped gardens, pathways and outdoor interpretive displays; and 14 shaded parking bays conveniently located close to the main entrance. 

Duration: 10 Months",,2025-12-31,Building and Facility Construction and Maintenance Services - Nonresidential building construction services,,AbuDhabi,https://www.adgpg.gov.ae/en/For-Suppliers/Public-Tenders?id=1219563?recommendedLimit=3,85,"The tender seeks a qualified contractor to deliver a comprehensive construction project for the Lulu Abu Dhabi Pearls Center on Dalma Island, focusing on a modern facility with significant landscaping and interpretive elements.  The project’s scope includes a substantial building, utility infrastructure, accommodation, and parking, requiring a robust and experienced team capable of meeting the EAD's requirements and incorporating innovative technology solutions.","ai, software, data",HIGH
6614927-2,RFQ-Social Integration (WhatsApp + Teams) – Novomind,Department of Finance,"The Department of Finance – Abu Dhabi invites you to participate at the RFP for ""Renewal licenses Social Integration """,,2025-12-30,Engineering and Research and Technology Based Services - Computer services,,AbuDhabi,https://www.adgpg.gov.ae/en/For-Suppliers/Public-Tenders?id=1219527?recommendedLimit=3,75,"This tender seeks innovative solutions leveraging AI, software, and data to enhance social integration within Novomind’s operations. The focus is on developing a robust platform for seamless communication and data exchange between employees across various departments, utilizing advanced technologies to improve efficiency and collaboration.","ai, software, data",HIGH
"651105000094,1",RFQ-Marketing and Communications,Department of Health,,,2026-01-09,Editorial and Design and Graphic and Fine Art Services - Advertising,,AbuDhabi,https://www.adgpg.gov.ae/en/For-Suppliers/Public-Tenders?id=1213832?recommendedLimit=3,85,"This tender seeks a comprehensive marketing and communications strategy leveraging artificial intelligence (AI) and data analytics to enhance brand presence, optimize campaigns, and deliver measurable results for [Client Name]. The successful bidder will demonstrate expertise in utilizing these technologies to create engaging content, personalize customer experiences, and gain valuable insights from data.","ai, software, data",HIGH
635105000100,RFQ-Prayer Room Carpet Replacement for DMT,ADPIC - Department of Municipalities and Transport (DMT),Prayer Room Carpet Replacement for DMT,,2025-12-29,Building and Facility Construction and Maintenance Services - Specialized trade construction and maintenance services,,AbuDhabi,https://www.adgpg.gov.ae/en/For-Suppliers/Public-Tenders?id=1218854?recommendedLimit=3,0,"** This tender seeks a qualified contractor to replace the existing carpet in the DMT Prayer Room with a new, high-quality flooring solution. The focus is on utilizing advanced software and data analysis for optimal selection of materials and installation techniques, ensuring a durable and aesthetically pleasing result that meets DMT’s specific requirements.","ai, software, data",LOW
414105000032,"RFQ-International Offices Representation in China, Japan and South Korea",Abu Dhabi Investment Office ,,,2026-01-09,Management and Business Professionals and Administrative Services - Management advisory services,,AbuDhabi,https://www.adgpg.gov.ae/en/For-Suppliers/Public-Tenders?id=1215963?recommendedLimit=3,0,"** This tender seeks a qualified partner to represent AI software solutions within China, Japan, and South Korea. The focus is on establishing and maintaining effective data management strategies tailored to the unique needs of these dynamic markets, considering regulatory compliance and technological trends specific to each region.","ai, software, data",LOW
651105000159,RFQ-INFORMATION & CYBER SECURITY MANAGED SERVICES,Department of Health,"of INFORMATION & CYBER SECURITY MANAGED SERVICES from reliable and capable Managed Service Provider from within UAE, to deliver, manage and mature Information and Cyber Security needs & capabilities for DoH and Abu Dhabi Health Sector, with a defined plan of maturity and excellence.
",,2026-01-14,Engineering and Research and Technology Based Services - Computer services,,AbuDhabi,https://www.adgpg.gov.ae/en/For-Suppliers/Public-Tenders?id=1214050?recommendedLimit=3,85,"This tender seeks a robust Managed Service Provider (MSP) to establish and maintain a comprehensive Information & Cyber Security program tailored specifically for the UAE’s DoH sector. The focus is on leveraging AI, advanced software solutions, and data analytics to ensure optimal security posture, scalability, and continuous improvement of critical information assets within this vital healthcare environment.","ai, software, data",HIGH
935105000105,RFQ-FCA Stationary,AFCA – Family Care Authority ,,,2026-02-12,Office Equipment and Accessories and Supplies - Office supplies,,AbuDhabi,https://www.adgpg.gov.ae/en/For-Suppliers/Public-Tenders?id=1214361?recommendedLimit=3,0,"** This tender seeks a software solution leveraging artificial intelligence (AI) to enhance data analysis capabilities. The focus is on developing or implementing an AI-driven platform capable of extracting valuable insights from existing datasets and presenting them in a user-friendly manner, ultimately improving decision-making processes within the organization.","ai, software, data",LOW
133105000055,RFQ-Supply and installation of furniture for Madinat Zayed Villa - Al Dhafra Region,Ruler's Representative Court Al Dhafra Region,Supply and installation of furniture for Madinat Zayed Villa - Al Dhafra Region,,2026-01-05,Furniture and Furnishings - Accommodation furniture,,AbuDhabi,https://www.adgpg.gov.ae/en/For-Suppliers/Public-Tenders?id=1211976?recommendedLimit=3,0,"** This tender seeks a qualified contractor to furnish a luxury villa in Madinat Zayed, Al Dhafra Region. The focus is on providing high-quality furniture and installation services, leveraging AI-powered design tools for optimal space planning and efficient execution, alongside robust data management throughout the project lifecycle to ensure quality control and client satisfaction.","ai, software, data",LOW
6629822,RFQ-DMT-RFP-25-062 Upgrade the Infrastructure (ME9-ME12)–MBZ (Construction),ADPIC - Department of Municipalities and Transport (DMT),"Project Title: Upgrade the Infrastructure in Sectors (ME9-ME12) – MBZ for Package (47) Main Contractor – Upgrade the infrastructure in Sector ME12.

This RFP is for the construction Package 47 related to the upgrade of infrastructure in Sector ME12 (MBZ City). A detailed and coordinated design has been developed. However, please note that ‘Infrastructure upgrades in ME12 (MBZ City) – Package 47’ is part of a wider programme of works under the wide MBZ City enhancement initiative. In summary, the Scope of Works for the whole of the MBZ City enhancement initiative includes the following:
• Road condition improvements.
• Public realm improvements (parks, landscaping, walkways and cycle tracks).
• Community Facilities Improvements: construction of more than one hundred community buildings for a variety of uses.
• Traffic and safety improvements around schools.
• Construction of multi-storey car parks.",,2026-02-04,Building and Facility Construction and Maintenance Services - Heavy construction services,,AbuDhabi,https://www.adgpg.gov.ae/en/For-Suppliers/Public-Tenders?id=1219806?recommendedLimit=3,75,"This tender seeks to upgrade infrastructure within Sector ME12 (MBZ City) as part of a larger MBZ City enhancement initiative, encompassing road improvements, public spaces, community facilities, and traffic management. The project leverages advanced technologies and data-driven solutions for optimal planning and execution.","ai, software, data",HIGH
635105000035-2,RFQ-On-Call Services - Professional Expertise to Develop Asset Manag't Practices- R1,ADPIC - Department of Municipalities and Transport (DMT),"Revision 1 - Additional Scope of Services and Amended Commercial Particulars:

The DMT is working to implement leading industry asset management practices to ensure that municipal assets are maintained efficiently through the assets’ life cycle and continue to provide the required levels of service.

The existing asset management framework and tools implemented within the affiliated entities of DMT setup for further development/improvement of the asset management processes, procedures, and system enhancement including asset inventory & condition, data collection, data analysis, information and maintenance operation management is in progress.",,2025-12-30,Mining and oil and gas services - Well drilling and construction services,,AbuDhabi,https://www.adgpg.gov.ae/en/For-Suppliers/Public-Tenders?id=1210340?recommendedLimit=3,75,"This tender seeks professional expertise to bolster DMT’s asset management capabilities through the implementation of advanced technologies, specifically leveraging artificial intelligence (AI) and data analytics. The focus is on enhancing efficiency, optimizing maintenance schedules, and ultimately improving the long-term value of municipal assets.","ai, software, data",HIGH
6615953-3,RFQ - Providing a filing device,Civil Defense ,"Providing a filing device for the Abu Dhabi Civil Defense Authority
(HANEL ROTOMAT)",,2026-01-06,Furniture and Furnishings - Accommodation furniture,,AbuDhabi,https://www.adgpg.gov.ae/en/For-Suppliers/Public-Tenders?id=1219599?recommendedLimit=3,75,"This tender seeks a reliable AI-powered filing device solution for the Abu Dhabi Civil Defense Authority, leveraging data analytics to streamline document management and improve efficiency. The focus is on a robust, adaptable system capable of handling diverse file formats and providing valuable insights through automated processes.","ai, software, data",HIGH
6620824,"RFQ-ITC/T/ITS/1190/25 - Design, Implementation & Technical Support for TDPMS",ITC - Integrated transport center ,"Design, Implementation and Technical Support Services for Traffic Detours and Events Permit Management Systems (TDPMS) for the Emirate of Abu Dhabi",,2026-01-14,Engineering and Research and Technology Based Services - Professional engineering services,,AbuDhabi,https://www.adgpg.gov.ae/en/For-Suppliers/Public-Tenders?id=1219698?recommendedLimit=3,85,"This tender seeks a comprehensive solution for managing traffic detours and event permits within Abu Dhabi, leveraging artificial intelligence (AI) and advanced software to streamline processes and improve efficiency. The successful bidder will provide design, implementation, and ongoing technical support services, integrating data analytics to optimize operations and enhance the overall experience for both drivers and event organizers.","ai, software, data",HIGH
246705000003,RFQ-Provision of ServiceNow Platform Services,Department of Government Enablement - GovProcurement,"The Department of Government Enablement has published this RFP for developing a government wide pricelist. The developed government wide pricelist will be utilized by all Abu Dhabi Government Entities for procuring the ServiceNow Platform Services based on their demand/requirement. Through this RFP, the Department of Government Enablement intends to select competent suppliers, unify the scope of services, and standardize the prices across all Abu Dhabi Government Entities to maximize spend efficiency.
As an outcome of the RFP process and based on the evaluations, the Department of Government Enablement may award multiple suppliers for providing the ServiceNow Platform Services to the Abu Dhabi Government Entities.
",,2026-01-12,Information Technology Broadcasting and Telecommunications - Software,,AbuDhabi,https://www.adgpg.gov.ae/en/For-Suppliers/Public-Tenders?id=1209298?recommendedLimit=3,75,"This RFP seeks a qualified vendor to deliver a comprehensive ServiceNow Platform Services solution across all Abu Dhabi Government Entities. The focus is on standardization, unified pricing, and efficient procurement through the development of a robust, scalable platform leveraging AI and data analytics for improved government operations.","ai, software, data",HIGH
651105000156,RFQ-International Patient Care (IPC) System,Department of Health,"of qualified vendor to recover and complete the partially developed IPC System built on the OutSystems platform. The objective is to rework, remediate, stabilize, and deploy the existing system, not rebuild it from scratch. The selected partner must demonstrate proven OutSystems delivery experience, strong project recovery capability, and the ability to deploy an MVP-ready solution as quickly as possible in alignment with DoH’s standards and security requirements.",,2026-01-07,Management and Business Professionals and Administrative Services - Human resources services,,AbuDhabi,https://www.adgpg.gov.ae/en/For-Suppliers/Public-Tenders?id=1207435?recommendedLimit=3,85,"This tender seeks a partner to restore a partially developed OutSystems IPC system, focusing on recovery, remediation, stabilization, and deployment. The ideal vendor possesses significant experience with similar projects, robust recovery methodologies, and the ability to deliver a functional MVP solution within established DoH standards and security protocols.","ai, software, data",HIGH
"6614353,1",RFQ-G922025,ADPIC - Al Ain Municipality (AAM),Design and construction of various lakes in Al Ain city - contractor,,2026-01-09,Structures and Building and Construction and Manufacturing Components and Supplies - Roads and landscape,,AbuDhabi,https://www.adgpg.gov.ae/en/For-Suppliers/Public-Tenders?id=1219662?recommendedLimit=3,85,"This tender seeks a qualified contractor to design and construct multiple lakes within Al Ain city, leveraging advanced software and data analytics for optimal planning, execution, and monitoring. The project requires a robust solution integrating AI-driven insights for predictive maintenance and resource management, ultimately aiming for efficient and sustainable water resource management in the region.","ai, software, data",HIGH
"635105000078,2",RFQ-DMT Media Affairs - Urban Plan Capital (UPC) Website,ADPIC - Department of Municipalities and Transport (DMT),DMT Media Affairs - Urban Plan Capital (UPC) Website,,2026-01-07,Management and Business Professionals and Administrative Services - Marketing and distribution,,AbuDhabi,https://www.adgpg.gov.ae/en/For-Suppliers/Public-Tenders?id=1206792?recommendedLimit=3,85,"This tender seeks a robust and innovative software solution to develop a dynamic and informative website for the Urban Plan Capital (UPC) initiative. The focus is on leveraging AI and data analytics to enhance user engagement, provide valuable planning information, and ultimately contribute to the successful implementation of UPC’s urban development projects.","ai, software, data",HIGH
635105000079,RFQ-Supply and installation of new LED Screen & Visual Technology at DMT Boardroom,ADPIC - Department of Municipalities and Transport (DMT),Supply and installation of new LED Screen & Visual Technology at DMT Boardroom,,2025-12-29,Printing and Photographic and Audio and Visual Equipment and Supplies - Audio and visual presentation and composing equipment,,AbuDhabi,https://www.adgpg.gov.ae/en/For-Suppliers/Public-Tenders?id=1211427?recommendedLimit=3,85,"This tender seeks a qualified supplier to install a new LED screen and visual technology system within the DMT Boardroom, incorporating AI and data analytics for enhanced presentation capabilities. The successful bidder will demonstrate expertise in integrating these technologies to optimize visual communication and data-driven insights within the space.","ai, software, data",HIGH
246105000205,"RFQ-Excellence Programs, Internal Awards",Department of Government Enablement - GovProcurement,,,2026-01-05,Management and Business Professionals and Administrative Services - Management advisory services,,AbuDhabi,https://www.adgpg.gov.ae/en/For-Suppliers/Public-Tenders?id=1204870?recommendedLimit=3,85,"This tender seeks innovative solutions leveraging artificial intelligence (AI) and data analytics to enhance internal software development processes. The successful bidder will demonstrate a capability to optimize workflows, improve data quality, and ultimately contribute to increased efficiency and strategic decision-making within the organization through intelligent automation and insightful analysis.","ai, software, data",HIGH
436105000034,RFQ-Project Management Consultancy (PMC) for Special Projects,Department of Energy,,,2026-01-08,Management and Business Professionals and Administrative Services - Management advisory services,,AbuDhabi,https://www.adgpg.gov.ae/en/For-Suppliers/Public-Tenders?id=1208682?recommendedLimit=3,75,"This tender seeks a qualified consultancy firm to provide expert project management support for specialized projects leveraging artificial intelligence (AI) and data analytics. The firm will be responsible for optimizing workflows, identifying key performance indicators (KPIs), and ensuring effective implementation of these technologies within the client’s unique requirements.","ai, software, data",HIGH
6624821,RFQ-DMT-RFP-25-061 - Upgrade the Infrastructure (ME9-ME12)–MBZ (Construction),ADPIC - Department of Municipalities and Transport (DMT),"Project: Upgrade the Infrastructure in Sectors (ME9-ME12) – MBZ
Package: Main Contractor – Upgrade the infrastructure in Sectors ME10 & ME11 (Package 44)

This RFP is for the construction Package 44 related to the upgrade of infrastructure in Sectors ME10&ME11 (MBZ City). A detailed and coordinated design has been developed. However, please note that ‘Infrastructure upgrades in ME10&ME11 (MBZ City) – Package 44’ is part of a wider programme of works under the wide MBZ City enhancement initiative. In summary, the Scope of Works for the whole of the MBZ City enhancement initiative includes the following:
- Road condition improvements.
- Public realm improvements (parks, landscaping, walkways and cycle tracks).
- Community Facilities Improvements: construction of more than one hundred community buildings for a variety of uses.
- Traffic and safety improvements around schools.
- Construction of multi-storey car parks.",,2026-02-04,Building and Facility Construction and Maintenance Services - Heavy construction services,,AbuDhabi,https://www.adgpg.gov.ae/en/For-Suppliers/Public-Tenders?id=1219797?recommendedLimit=3,75,"This tender seeks a qualified contractor to deliver the infrastructure upgrades within sectors ME10 & ME11 (MBZ City) as part of a larger, multi-faceted city enhancement initiative. The scope encompasses road improvements, public spaces, community facilities, and traffic management enhancements, reflecting a significant investment in the future development of MBZ City.","ai, software, data",HIGH
